paper_id,pdf_page,printed_page,section,notes
A005,1,,Introduction,Printed page not independently verified.
A005,2,,Experimental,Printed page not independently verified.
A005,3,,Experimental,Printed page not independently verified.
A005,4,,Experimental,Printed page not independently verified.
A005,5,,Results and Discussion,Printed page not independently verified.
A005,6,,Results and Discussion,Printed page not independently verified.
A005,7,,Results and Discussion,Printed page not independently verified.
A005,8,,Results and Discussion,Printed page not independently verified.
A005,9,,Conclusions,Printed page not independently verified.
A005,10,,References,Printed page not independently verified.
A005,11,,References,Printed page not independently verified.
A005,12,,References,Printed page not independently verified.
A005,13,,Appendix,Printed page not independently verified.
A005,14,,Appendix,Printed page not independently verified.
A005,15,,Appendix,Printed page not independently verified.
A005,16,,Appendix,Printed page not independently verified.
