paper_id,pdf_page,printed_page,section,notes
C024,1,,1. Introduction,Printed page not independently verified.
C024,2,,1. Introduction,Printed page not independently verified.
C024,3,,1. Introduction,Printed page not independently verified.
C024,4,,1. Introduction,Printed page not independently verified.
C024,5,,1. Introduction,Printed page not independently verified.
C024,6,,1. Introduction,Printed page not independently verified.
C024,7,,1. Introduction,Printed page not independently verified.
C024,8,,1. Introduction,Printed page not independently verified.
C024,9,,1. Introduction,Printed page not independently verified.
C024,10,,1. Introduction,Printed page not independently verified.
C024,11,,1. Introduction,Printed page not independently verified.
C024,12,,1. Introduction,Printed page not independently verified.
C024,13,,"model. Further, the KHRT model predicts the early formation of very",Printed page not independently verified.
C024,14,,Appendix. Child droplet cloud model details,Printed page not independently verified.
C024,15,,Appendix A.6,Printed page not independently verified.
C024,16,,References,Printed page not independently verified.
