paper_id,pdf_page,printed_page,section,notes
C015,1,,1. Introduction,Printed page not independently verified.
C015,2,,1. Introduction,Printed page not independently verified.
C015,3,,1. Introduction,Printed page not independently verified.
C015,4,,1. Introduction,Printed page not independently verified.
C015,5,,1. Introduction,Printed page not independently verified.
C015,6,,1. Introduction,Printed page not independently verified.
C015,7,,1. Introduction,Printed page not independently verified.
C015,8,,1. Introduction,Printed page not independently verified.
C015,9,,1. Introduction,Printed page not independently verified.
C015,10,,6. Results and discussion,Printed page not independently verified.
C015,11,,6. Results and discussion,Printed page not independently verified.
C015,12,,6. Results and discussion,Printed page not independently verified.
C015,13,,6. Results and discussion,Printed page not independently verified.
C015,14,,References,Printed page not independently verified.
C015,15,,References,Printed page not independently verified.
