paper_id,pdf_page,printed_page,section,notes
B027,1,,ABSTRACT,Printed page not independently verified.
B027,2,,METHODS,Printed page not independently verified.
B027,3,,model,Printed page not independently verified.
B027,4,,model,Printed page not independently verified.
B027,5,,model,Printed page not independently verified.
B027,6,,model,Printed page not independently verified.
B027,7,,model,Printed page not independently verified.
B027,8,,model,Printed page not independently verified.
B027,9,,model,Printed page not independently verified.
B027,10,,model,Printed page not independently verified.
B027,11,,model,Printed page not independently verified.
B027,12,,model,Printed page not independently verified.
B027,13,,model,Printed page not independently verified.
B027,14,,model,Printed page not independently verified.
B027,15,,REFERENCES,Printed page not independently verified.
B027,16,,REFERENCES,Printed page not independently verified.
B027,17,,REFERENCES,Printed page not independently verified.
