paper_id,pdf_page,printed_page,section,notes
D017,1,1,Abstract and introduction,
D017,2,2,Abstract and introduction,
D017,3,3,Abstract and introduction,
D017,4,4,Experimental facility and methods,
D017,5,5,Experimental facility and methods,
D017,6,6,Results and cloud morphology,
D017,7,7,Results and cloud morphology,
D017,8,8,Model interpretation,
D017,9,9,Model interpretation,
D017,10,10,Model interpretation,
D017,11,11,Appendices and references,
D017,12,12,Appendices and references,
D017,13,13,Appendices and references,
D017,14,14,Appendices and references,
