paper_id,pdf_page,printed_page,section,notes
B019,1,,1. Introduction,Printed page not independently verified.
B019,2,,2. Experimental setup,Printed page not independently verified.
B019,3,,3. Numerical methods,Printed page not independently verified.
B019,4,,3. Numerical methods,Printed page not independently verified.
B019,5,,results. These values are compared with the measured data in Table 2,Printed page not independently verified.
B019,6,,results. These values are compared with the measured data in Table 2,Printed page not independently verified.
B019,7,,Numerical,Printed page not independently verified.
B019,8,,Numerical,Printed page not independently verified.
B019,9,,Numerical,Printed page not independently verified.
B019,10,,5. Conclusions,Printed page not independently verified.
B019,11,,5. Conclusions,Printed page not independently verified.
B019,12,,References,Printed page not independently verified.
