paper_id,pdf_page,printed_page,section,notes
A024,1,,abstract,Printed page not independently verified.
A024,2,,1. Introduction,Printed page not independently verified.
A024,3,,1. Introduction,Printed page not independently verified.
A024,4,,1. Introduction,Printed page not independently verified.
A024,5,,1. Introduction,Printed page not independently verified.
A024,6,,1. Introduction,Printed page not independently verified.
A024,7,,1. Introduction,Printed page not independently verified.
A024,8,,1. Introduction,Printed page not independently verified.
A024,9,,3. Results and discussion,Printed page not independently verified.
A024,10,,3. Results and discussion,Printed page not independently verified.
A024,11,,3. Results and discussion,Printed page not independently verified.
A024,12,,3. Results and discussion,Printed page not independently verified.
A024,13,,3. Results and discussion,Printed page not independently verified.
A024,14,,3. Results and discussion,Printed page not independently verified.
A024,15,,3. Results and discussion,Printed page not independently verified.
A024,16,,3. Results and discussion,Printed page not independently verified.
A024,17,,3. Results and discussion,Printed page not independently verified.
A024,18,,3. Results and discussion,Printed page not independently verified.
A024,19,,3. Results and discussion,Printed page not independently verified.
A024,20,,3. Results and discussion,Printed page not independently verified.
A024,21,,references,Printed page not independently verified.
A024,22,,references,Printed page not independently verified.
A024,23,,references,Printed page not independently verified.
