paper_id,pdf_page,printed_page,section,notes
A006,1,,Introduction,Printed page not independently verified.
A006,2,,Experimental Methods,Printed page not independently verified.
A006,3,,Experimental Methods,Printed page not independently verified.
A006,4,,Results and Discussion,Printed page not independently verified.
A006,5,,Results and Discussion,Printed page not independently verified.
A006,6,,Results and Discussion,Printed page not independently verified.
A006,7,,Results and Discussion,Printed page not independently verified.
A006,8,,Results and Discussion,Printed page not independently verified.
A006,9,,Results and Discussion,Printed page not independently verified.
A006,10,,References,Printed page not independently verified.
A006,11,,References,Printed page not independently verified.
A006,12,,References,Printed page not independently verified.
A006,13,,APPENDIX C: CFD PREDICTION OF AHRR FOR BASELINE AND SPC CONDITIONS,Printed page not independently verified.
A006,14,,APPENDIX C: CFD PREDICTION OF AHRR FOR BASELINE AND SPC CONDITIONS,Printed page not independently verified.
