paper_id,pdf_page,printed_page,section,notes
B024,1,,1. Introduction,Printed page not independently verified.
B024,2,,1. Introduction,Printed page not independently verified.
B024,3,,1. Introduction,Printed page not independently verified.
B024,4,,3. Results and discussion,Printed page not independently verified.
B024,5,,3. Results and discussion,Printed page not independently verified.
B024,6,,3. Results and discussion,Printed page not independently verified.
B024,7,,3. Results and discussion,Printed page not independently verified.
B024,8,,3. Results and discussion,Printed page not independently verified.
B024,9,,3. Results and discussion,Printed page not independently verified.
B024,10,,3. Results and discussion,Printed page not independently verified.
B024,11,,3. Results and discussion,Printed page not independently verified.
B024,12,,3. Results and discussion,Printed page not independently verified.
B024,13,,5. Conclusions,Printed page not independently verified.
B024,14,,References,Printed page not independently verified.
