paper_id,pdf_page,printed_page,section,notes
A026,1,,1. Introduction,Printed page not independently verified.
A026,2,,1. Introduction,Printed page not independently verified.
A026,3,,1. Introduction,Printed page not independently verified.
A026,4,,3. Results and discussion,Printed page not independently verified.
A026,5,,3. Results and discussion,Printed page not independently verified.
A026,6,,3. Results and discussion,Printed page not independently verified.
A026,7,,3. Results and discussion,Printed page not independently verified.
A026,8,,3. Results and discussion,Printed page not independently verified.
A026,9,,3. Results and discussion,Printed page not independently verified.
A026,10,,3. Results and discussion,Printed page not independently verified.
A026,11,,4. Conclusions,Printed page not independently verified.
A026,12,,4. Conclusions,Printed page not independently verified.
A026,13,,4. Conclusions,Printed page not independently verified.
A026,14,,References,Printed page not independently verified.
