paper_id,pdf_page,printed_page,section,notes
B015,1,,1. Introduction,Printed page not independently verified.
B015,2,,2.1. Experimental setup,Printed page not independently verified.
B015,3,,2.1. Experimental setup,Printed page not independently verified.
B015,4,,2.1. Experimental setup,Printed page not independently verified.
B015,5,,3. Results and discussion,Printed page not independently verified.
B015,6,,3. Results and discussion,Printed page not independently verified.
B015,7,,3. Results and discussion,Printed page not independently verified.
B015,8,,4. Conclusions,Printed page not independently verified.
B015,9,,4. Conclusions,Printed page not independently verified.
B015,10,,4. Conclusions,Printed page not independently verified.
B015,11,,References,Printed page not independently verified.
