paper_id,pdf_page,printed_page,section,notes
D013,1,,1. Introduction,Printed page not independently verified.
D013,2,,1. Introduction,Printed page not independently verified.
D013,3,,2.2. Numerical method,Printed page not independently verified.
D013,4,,3. Results and discussion,Printed page not independently verified.
D013,5,,3. Results and discussion,Printed page not independently verified.
D013,6,,3. Results and discussion,Printed page not independently verified.
D013,7,,3. Results and discussion,Printed page not independently verified.
D013,8,,3. Results and discussion,Printed page not independently verified.
D013,9,,3. Results and discussion,Printed page not independently verified.
D013,10,,References,Printed page not independently verified.
D013,11,,References,Printed page not independently verified.
