paper_id,pdf_page,printed_page,section,notes
B023,1,,abstract,Printed page not independently verified.
B023,2,,1. Introduction,Printed page not independently verified.
B023,3,,1. Introduction,Printed page not independently verified.
B023,4,,1. Introduction,Printed page not independently verified.
B023,5,,1. Introduction,Printed page not independently verified.
B023,6,,4. Results,Printed page not independently verified.
B023,7,,4. Results,Printed page not independently verified.
B023,8,,4. Results,Printed page not independently verified.
B023,9,,4. Results,Printed page not independently verified.
B023,10,,4. Results,Printed page not independently verified.
B023,11,,5. Conclusions,Printed page not independently verified.
B023,12,,references,Printed page not independently verified.
B023,13,,references,Printed page not independently verified.
