paper_id,pdf_page,printed_page,section,notes
B026,1,,1. Introduction,Printed page not independently verified.
B026,2,,1. Introduction,Printed page not independently verified.
B026,3,,1. Introduction,Printed page not independently verified.
B026,4,,1. Introduction,Printed page not independently verified.
B026,5,,1. Introduction,Printed page not independently verified.
B026,6,,4. Results,Printed page not independently verified.
B026,7,,4. Results,Printed page not independently verified.
B026,8,,"results: 𝑊𝑑 = 1.135 mm, 1.377 mm, 3.173 mm, for 𝑁 𝑃 𝑅 = 8.5, 10, 30,",Printed page not independently verified.
B026,9,,5. Conclusions,Printed page not independently verified.
B026,10,,References,Printed page not independently verified.
B026,11,,References,Printed page not independently verified.
