paper_id,pdf_page,printed_page,section,notes
A020,1,766,Abstract and introduction,
A020,2,767,Abstract and introduction,
A020,3,768,Abstract and introduction,
A020,4,769,Experimental details,
A020,5,770,Experimental details,
A020,6,771,Experimental details,
A020,7,772,Experimental details,
A020,8,773,Results and discussion,
A020,9,774,Results and discussion,
A020,10,775,Results and discussion,
A020,11,776,Results and discussion,
A020,12,777,Results and discussion,
A020,13,778,Results and discussion,
A020,14,779,Results and discussion,
A020,15,780,Results and discussion,
A020,16,781,Results and discussion,
A020,17,782,References,
A020,18,783,References,
