paper_id,pdf_page,printed_page,section,notes
C006,1,,1. Introduction,Printed page not independently verified.
C006,2,,1. Introduction,Printed page not independently verified.
C006,3,,1. Introduction,Printed page not independently verified.
C006,4,,1. Introduction,Printed page not independently verified.
C006,5,,model. Kulkarni & Sojka ( 2014) carried out the same analysis including viscous effects,Printed page not independently verified.
C006,6,,"appendix A. Despite the presence of the needle, the present experiments are found to agree",Printed page not independently verified.
C006,7,,"appendix A. Despite the presence of the needle, the present experiments are found to agree",Printed page not independently verified.
C006,8,,"appendix A. Despite the presence of the needle, the present experiments are found to agree",Printed page not independently verified.
C006,9,,"appendix A. Despite the presence of the needle, the present experiments are found to agree",Printed page not independently verified.
C006,10,,"appendix A. Despite the presence of the needle, the present experiments are found to agree",Printed page not independently verified.
C006,11,,"appendix A. Despite the presence of the needle, the present experiments are found to agree",Printed page not independently verified.
C006,12,,"appendix A. Despite the presence of the needle, the present experiments are found to agree",Printed page not independently verified.
C006,13,,"appendix A. Despite the presence of the needle, the present experiments are found to agree",Printed page not independently verified.
C006,14,,"appendix A. Despite the presence of the needle, the present experiments are found to agree",Printed page not independently verified.
C006,15,,"appendix A. Despite the presence of the needle, the present experiments are found to agree",Printed page not independently verified.
C006,16,,"appendix A. Despite the presence of the needle, the present experiments are found to agree",Printed page not independently verified.
C006,17,,"appendix A. Despite the presence of the needle, the present experiments are found to agree",Printed page not independently verified.
C006,18,,appendix C,Printed page not independently verified.
C006,19,,appendix C,Printed page not independently verified.
C006,20,,appendix C,Printed page not independently verified.
C006,21,,appendix C,Printed page not independently verified.
C006,22,,appendix C,Printed page not independently verified.
C006,23,,appendix C,Printed page not independently verified.
C006,24,,appendix C,Printed page not independently verified.
C006,25,,appendix C,Printed page not independently verified.
C006,26,,appendix C,Printed page not independently verified.
C006,27,,appendix C,Printed page not independently verified.
C006,28,,appendix C,Printed page not independently verified.
C006,29,,appendix C,Printed page not independently verified.
C006,30,,appendix C,Printed page not independently verified.
C006,31,,appendix C,Printed page not independently verified.
C006,32,,appendix C,Printed page not independently verified.
C006,33,,appendix C,Printed page not independently verified.
C006,34,,5. Conclusions,Printed page not independently verified.
C006,35,,Appendix A. Eﬀect of the suspending needle,Printed page not independently verified.
C006,36,,Appendix A. Eﬀect of the suspending needle,Printed page not independently verified.
C006,37,,Appendix A. Eﬀect of the suspending needle,Printed page not independently verified.
C006,38,,Appendix A. Eﬀect of the suspending needle,Printed page not independently verified.
C006,39,,experimental method. Figure 42 compares the estimated initiation time T,Printed page not independently verified.
C006,40,,experimental method. Figure 42 compares the estimated initiation time T,Printed page not independently verified.
C006,41,,experimental method. Figure 42 compares the estimated initiation time T,Printed page not independently verified.
C006,42,,experimental method. Figure 42 compares the estimated initiation time T,Printed page not independently verified.
C006,43,,Appendix C. Discussion of other internal ﬂow modelling attempts,Printed page not independently verified.
C006,44,,REFERENCES,Printed page not independently verified.
C006,45,,REFERENCES,Printed page not independently verified.
C006,46,,REFERENCES,Printed page not independently verified.
