paper_id,pdf_page,printed_page,section,notes
D012,1,,1. Introduction,Printed page not independently verified.
D012,2,,1. Introduction,Printed page not independently verified.
D012,3,,1. Introduction,Printed page not independently verified.
D012,4,,2. Methods,Printed page not independently verified.
D012,5,,2. Methods,Printed page not independently verified.
D012,6,,2. Methods,Printed page not independently verified.
D012,7,,2. Methods,Printed page not independently verified.
D012,8,,3. Results and discussion,Printed page not independently verified.
D012,9,,3. Results and discussion,Printed page not independently verified.
D012,10,,3. Results and discussion,Printed page not independently verified.
D012,11,,3. Results and discussion,Printed page not independently verified.
D012,12,,3. Results and discussion,Printed page not independently verified.
D012,13,,References,Printed page not independently verified.
