paper_id,pdf_page,printed_page,section,notes
A028,1,,1. Introduction,Printed page not independently verified.
A028,2,,1. Introduction,Printed page not independently verified.
A028,3,,1. Introduction,Printed page not independently verified.
A028,4,,method,Printed page not independently verified.
A028,5,,method,Printed page not independently verified.
A028,6,,method,Printed page not independently verified.
A028,7,,method,Printed page not independently verified.
A028,8,,method,Printed page not independently verified.
A028,9,,method,Printed page not independently verified.
A028,10,,method,Printed page not independently verified.
A028,11,,model,Printed page not independently verified.
A028,12,,model,Printed page not independently verified.
A028,13,,model,Printed page not independently verified.
A028,14,,model,Printed page not independently verified.
A028,15,,5.1. Conclusions,Printed page not independently verified.
A028,16,,5.1. Conclusions,Printed page not independently verified.
A028,17,,References,Printed page not independently verified.
A028,18,,References,Printed page not independently verified.
A028,19,,References,Printed page not independently verified.
