paper_id,pdf_page,printed_page,section,notes
D001,1,,1. INTRODUCTION,Printed page not independently verified.
D001,2,,1. INTRODUCTION,Printed page not independently verified.
D001,3,,1. INTRODUCTION,Printed page not independently verified.
D001,4,,background. This is shown as a high peak of the schlieren,Printed page not independently verified.
D001,5,,background. This is shown as a high peak of the schlieren,Printed page not independently verified.
D001,6,,background. This is shown as a high peak of the schlieren,Printed page not independently verified.
D001,7,,background. This is shown as a high peak of the schlieren,Printed page not independently verified.
D001,8,,background. This is shown as a high peak of the schlieren,Printed page not independently verified.
D001,9,,background. This is shown as a high peak of the schlieren,Printed page not independently verified.
D001,10,,background. This is shown as a high peak of the schlieren,Printed page not independently verified.
D001,11,,background. This is shown as a high peak of the schlieren,Printed page not independently verified.
D001,12,,REFERENCES,Printed page not independently verified.
D001,13,,REFERENCES,Printed page not independently verified.
