paper_id,pdf_page,printed_page,section,notes
D010,1,,1. Introduction,Printed page not independently verified.
D010,2,,1. Introduction,Printed page not independently verified.
D010,3,,3. Results and discussion,Printed page not independently verified.
D010,4,,3. Results and discussion,Printed page not independently verified.
D010,5,,3. Results and discussion,Printed page not independently verified.
D010,6,,3. Results and discussion,Printed page not independently verified.
D010,7,,3. Results and discussion,Printed page not independently verified.
D010,8,,4. Conclusions,Printed page not independently verified.
D010,9,,References,Printed page not independently verified.
D010,10,,References,Printed page not independently verified.
