paper_id,pdf_page,printed_page,section,notes
A003,1,,1. Introduction,Printed page not independently verified.
A003,2,,1. Introduction,Printed page not independently verified.
A003,3,,1. Introduction,Printed page not independently verified.
A003,4,,1. Introduction,Printed page not independently verified.
A003,5,,1. Introduction,Printed page not independently verified.
A003,6,,1. Introduction,Printed page not independently verified.
A003,7,,1. Introduction,Printed page not independently verified.
A003,8,,1. Introduction,Printed page not independently verified.
A003,9,,4. Conclusions,Printed page not independently verified.
A003,10,,References,Printed page not independently verified.
