paper_id,pdf_page,printed_page,section,notes
B005,1,,1. Introduction,Printed page not independently verified.
B005,2,,1. Introduction,Printed page not independently verified.
B005,3,,1. Introduction,Printed page not independently verified.
B005,4,,1. Introduction,Printed page not independently verified.
B005,5,,1. Introduction,Printed page not independently verified.
B005,6,,1. Introduction,Printed page not independently verified.
B005,7,,1. Introduction,Printed page not independently verified.
B005,8,,1. Introduction,Printed page not independently verified.
B005,9,,1. Introduction,Printed page not independently verified.
B005,10,,1. Introduction,Printed page not independently verified.
B005,11,,1. Introduction,Printed page not independently verified.
B005,12,,1. Introduction,Printed page not independently verified.
B005,13,,1. Introduction,Printed page not independently verified.
B005,14,,1. Introduction,Printed page not independently verified.
B005,15,,6. Conclusions,Printed page not independently verified.
B005,16,,6. Conclusions,Printed page not independently verified.
B005,17,,References,Printed page not independently verified.
B005,18,,References,Printed page not independently verified.
B005,19,,References,Printed page not independently verified.
B005,20,,References,Printed page not independently verified.
B005,21,,References,Printed page not independently verified.
