paper_id,pdf_page,printed_page,section,notes
A027,1,,1. Introduction,Printed page not independently verified.
A027,2,,1. Introduction,Printed page not independently verified.
A027,3,,1. Introduction,Printed page not independently verified.
A027,4,,1. Introduction,Printed page not independently verified.
A027,5,,1. Introduction,Printed page not independently verified.
A027,6,,1. Introduction,Printed page not independently verified.
A027,7,,1. Introduction,Printed page not independently verified.
A027,8,,1. Introduction,Printed page not independently verified.
A027,9,,1. Introduction,Printed page not independently verified.
A027,10,,1. Introduction,Printed page not independently verified.
A027,11,,1. Introduction,Printed page not independently verified.
A027,12,,1. Introduction,Printed page not independently verified.
A027,13,,5. Conclusions,Printed page not independently verified.
A027,14,,5. Conclusions,Printed page not independently verified.
A027,15,,References,Printed page not independently verified.
A027,16,,References,Printed page not independently verified.
A027,17,,References,Printed page not independently verified.
