paper_id,pdf_page,printed_page,section,notes
D019,1,,Front matter and abstract,Printed page not independently verified.
D019,2,,Front matter and abstract,Printed page not independently verified.
D019,3,,Front matter and abstract,Printed page not independently verified.
D019,4,,Front matter and abstract,Printed page not independently verified.
D019,5,,Front matter and abstract,Printed page not independently verified.
D019,6,,Front matter and abstract,Printed page not independently verified.
D019,7,,Front matter and abstract,Printed page not independently verified.
D019,8,,Front matter and abstract,Printed page not independently verified.
D019,9,,Front matter and abstract,Printed page not independently verified.
D019,10,,Front matter and abstract,Printed page not independently verified.
D019,11,,Front matter and abstract,Printed page not independently verified.
D019,12,,Front matter and abstract,Printed page not independently verified.
D019,13,,Front matter and abstract,Printed page not independently verified.
D019,14,,Front matter and abstract,Printed page not independently verified.
D019,15,,Front matter and abstract,Printed page not independently verified.
D019,16,,Front matter and abstract,Printed page not independently verified.
D019,17,,Front matter and abstract,Printed page not independently verified.
D019,18,,Front matter and abstract,Printed page not independently verified.
D019,19,,Front matter and abstract,Printed page not independently verified.
D019,20,,Front matter and abstract,Printed page not independently verified.
D019,21,,Front matter and abstract,Printed page not independently verified.
D019,22,,Front matter and abstract,Printed page not independently verified.
D019,23,,Front matter and abstract,Printed page not independently verified.
D019,24,,Front matter and abstract,Printed page not independently verified.
D019,25,,APPENDIX: CALCULA TION OF THE PARTIAL DERIV A TIVES,Printed page not independently verified.
D019,26,,APPENDIX: CALCULA TION OF THE PARTIAL DERIV A TIVES,Printed page not independently verified.
D019,27,,APPENDIX: CALCULA TION OF THE PARTIAL DERIV A TIVES,Printed page not independently verified.
D019,28,,APPENDIX: CALCULA TION OF THE PARTIAL DERIV A TIVES,Printed page not independently verified.
