paper_id,pdf_page,printed_page,section,notes
C016,1,A27-1,Abstract and introduction,
C016,2,A27-2,Abstract and introduction,
C016,3,A27-3,Abstract and introduction,
C016,4,A27-4,Abstract and introduction,
C016,5,A27-5,Experimental methodology,
C016,6,A27-6,Experimental methodology,
C016,7,A27-7,Experimental methodology,
C016,8,A27-8,Experimental methodology,
C016,9,A27-9,Experimental methodology,
C016,10,A27-10,Experimental methodology,
C016,11,A27-11,Wave and breakup results,
C016,12,A27-12,Wave and breakup results,
C016,13,A27-13,Wave and breakup results,
C016,14,A27-14,Wave and breakup results,
C016,15,A27-15,Wave and breakup results,
C016,16,A27-16,Wave and breakup results,
C016,17,A27-17,Wave and breakup results,
C016,18,A27-18,Wave and breakup results,
C016,19,A27-19,Wave and breakup results,
C016,20,A27-20,Wave and breakup results,
C016,21,A27-21,Wave and breakup results,
C016,22,A27-22,Wave and breakup results,
C016,23,A27-23,Wave and breakup results,
C016,24,A27-24,Wave and breakup results,
C016,25,A27-25,Wave and breakup results,
C016,26,A27-26,Wave and breakup results,
C016,27,A27-27,Wave and breakup results,
C016,28,A27-28,Wave and breakup results,
C016,29,A27-29,Conclusions,
C016,30,A27-30,References,
C016,31,A27-31,References,
C016,32,A27-32,References,
