paper_id,pdf_page,printed_page,section,notes
C028,1,,1. Introduction,Printed page not independently verified.
C028,2,,1. Introduction,Printed page not independently verified.
C028,3,,2. Methods,Printed page not independently verified.
C028,4,,2. Methods,Printed page not independently verified.
C028,5,,2. Methods,Printed page not independently verified.
C028,6,,2. Methods,Printed page not independently verified.
C028,7,,2. Methods,Printed page not independently verified.
C028,8,,2. Methods,Printed page not independently verified.
C028,9,,2. Methods,Printed page not independently verified.
C028,10,,2. Methods,Printed page not independently verified.
C028,11,,2. Methods,Printed page not independently verified.
C028,12,,3. Results and discussion,Printed page not independently verified.
C028,13,,3. Results and discussion,Printed page not independently verified.
C028,14,,3. Results and discussion,Printed page not independently verified.
C028,15,,3. Results and discussion,Printed page not independently verified.
C028,16,,3. Results and discussion,Printed page not independently verified.
C028,17,,3. Results and discussion,Printed page not independently verified.
C028,18,,3. Results and discussion,Printed page not independently verified.
C028,19,,3. Results and discussion,Printed page not independently verified.
C028,20,,3. Results and discussion,Printed page not independently verified.
C028,21,,3. Results and discussion,Printed page not independently verified.
C028,22,,3. Results and discussion,Printed page not independently verified.
C028,23,,3. Results and discussion,Printed page not independently verified.
C028,24,,3. Results and discussion,Printed page not independently verified.
C028,25,,3. Results and discussion,Printed page not independently verified.
C028,26,,3. Results and discussion,Printed page not independently verified.
C028,27,,3. Results and discussion,Printed page not independently verified.
C028,28,,3. Results and discussion,Printed page not independently verified.
C028,29,,4. Conclusions,Printed page not independently verified.
C028,30,,4. Conclusions,Printed page not independently verified.
C028,31,,Appendix A. Numerical method for constructing the interface-normal 1-D Riemann problem,Printed page not independently verified.
C028,32,,Appendix B. The interfacial Riemann problem,Printed page not independently verified.
C028,33,,Appendix B. The interfacial Riemann problem,Printed page not independently verified.
C028,34,,Appendix B. The interfacial Riemann problem,Printed page not independently verified.
C028,35,,Appendix B. The interfacial Riemann problem,Printed page not independently verified.
C028,36,,References,Printed page not independently verified.
C028,37,,References,Printed page not independently verified.
C028,38,,References,Printed page not independently verified.
