paper_id,pdf_page,printed_page,section,notes
B016,1,,abstract,Printed page not independently verified.
B016,2,,abstract,Printed page not independently verified.
B016,3,,2. Experimental setup,Printed page not independently verified.
B016,4,,3. Results and discussion,Printed page not independently verified.
B016,5,,3. Results and discussion,Printed page not independently verified.
B016,6,,3. Results and discussion,Printed page not independently verified.
B016,7,,3. Results and discussion,Printed page not independently verified.
B016,8,,3. Results and discussion,Printed page not independently verified.
B016,9,,3. Results and discussion,Printed page not independently verified.
B016,10,,3. Results and discussion,Printed page not independently verified.
B016,11,,3. Results and discussion,Printed page not independently verified.
B016,12,,References,Printed page not independently verified.
B016,13,,References,Printed page not independently verified.
