paper_id,pdf_page,printed_page,section,notes
A014,1,,Introduction,Printed page not independently verified.
A014,2,,Introduction,Printed page not independently verified.
A014,3,,Introduction,Printed page not independently verified.
A014,4,,Introduction,Printed page not independently verified.
A014,5,,Introduction,Printed page not independently verified.
A014,6,,Appendix B,Printed page not independently verified.
A014,7,,discussion. The calculation of X0,Printed page not independently verified.
A014,8,,discussion. The calculation of X0,Printed page not independently verified.
A014,9,,discussion. The calculation of X0,Printed page not independently verified.
A014,10,,discussion. The calculation of X0,Printed page not independently verified.
A014,11,,discussion. The calculation of X0,Printed page not independently verified.
A014,12,,discussion. The calculation of X0,Printed page not independently verified.
A014,13,,discussion. The calculation of X0,Printed page not independently verified.
A014,14,,discussion. The calculation of X0,Printed page not independently verified.
A014,15,,discussion. The calculation of X0,Printed page not independently verified.
A014,16,,discussion. The calculation of X0,Printed page not independently verified.
A014,17,,discussion. The calculation of X0,Printed page not independently verified.
A014,18,,discussion. The calculation of X0,Printed page not independently verified.
A014,19,,Conclusions,Printed page not independently verified.
A014,20,,References,Printed page not independently verified.
A014,21,,Appendix A,Printed page not independently verified.
A014,22,,Appendix C,Printed page not independently verified.
A014,23,,Appendix D,Printed page not independently verified.
A014,24,,Appendix D,Printed page not independently verified.
