paper_id,pdf_page,printed_page,section,notes
D005,1,,1. Introduction,Printed page not independently verified.
D005,2,,1. Introduction,Printed page not independently verified.
D005,3,,2.1. Experimental Setup,Printed page not independently verified.
D005,4,,2.1. Experimental Setup,Printed page not independently verified.
D005,5,,2.1. Experimental Setup,Printed page not independently verified.
D005,6,,2.1. Experimental Setup,Printed page not independently verified.
D005,7,,3. Results and Discussion,Printed page not independently verified.
D005,8,,3. Results and Discussion,Printed page not independently verified.
D005,9,,3. Results and Discussion,Printed page not independently verified.
D005,10,,3. Results and Discussion,Printed page not independently verified.
D005,11,,3. Results and Discussion,Printed page not independently verified.
D005,12,,3. Results and Discussion,Printed page not independently verified.
D005,13,,3. Results and Discussion,Printed page not independently verified.
D005,14,,3. Results and Discussion,Printed page not independently verified.
D005,15,,3. Results and Discussion,Printed page not independently verified.
D005,16,,3. Results and Discussion,Printed page not independently verified.
D005,17,,References,Printed page not independently verified.
D005,18,,References,Printed page not independently verified.
D005,19,,References,Printed page not independently verified.
