mechanism_relation_id,paper_id,case_id,source_node,relation_type,target_node,support_type,candidate_claim_id,source_locator_id,verification_status,notes
MECH-B004-001,B004,B004-REV,pressure_ratio,correlates_with,Mach_disk_position,author_interpretation,T1-B004-C01,LOC-B004-0004,verified,Review-secondary synthesis.
MECH-B004-002,B004,B004-REV,near_field_shock_pattern,precedes,far_field_self_similarity,author_interpretation,T1-B004-C02,LOC-B004-0008,verified,Conceptual zone framework.
MECH-B009-001,B009,ALL,NPR,correlates_with,Mach_disk_dimensions,simulation_resolved,T1-B009-C01,LOC-B009-0007,verified,Case-specific sweep.
MECH-B009-002,B009,B009-H2-NPR8.5,Gortler_vortices,author_attributes_to,pre_disk_mixing,author_interpretation,T1-B009-C02,LOC-B009-0007,verified,"Author attribution, not promoted to direct causality."
MECH-B009-003,B009,ALL,NPR,correlates_with,non_monotonic_penetration,simulation_resolved,T1-B009-C03,LOC-B009-0007,verified,Geometry-specific.
MECH-B028-001,B028,ALL,NPR,promotes,shock_strength_and_entrainment,simulation_resolved,T1-B028-C01,LOC-B028-0009,verified,Primary factor ranking.
MECH-B028-002,B028,B028-NHD,nozzle_hole_diameter,promotes,shear_layer_growth,experimental_correlation,T1-B028-C02,LOC-B028-0009,verified,Nonlinear saturation noted.
MECH-B028-003,B028,B028-AT,ambient_temperature,promotes,lateral_expansion,experimental_correlation,T1-B028-C03,LOC-B028-0009,verified,Secondary effect.
MECH-C007-001,C007,C007-REV,forcing_scale_compatibility,modifies,droplet_response,author_interpretation,T1-C007-C01,LOC-C007-0006,verified,Review synthesis.
MECH-C007-002,C007,C007-REV,supersonic_compressibility,suppresses,breakup_intensity,author_interpretation,T1-C007-C02,LOC-C007-0005,verified,Secondary evidence.
MECH-C007-003,C007,C007-REV,wave_cascade,precedes,ligament_fragmentation,author_interpretation,T1-C007-C03,LOC-C007-0006,verified,Review mechanism.
MECH-C018-001,C018,ALL,reflected_expansion_focus,correlates_with,NPP_location_at_low_n,simulation_resolved,T1-C018-C01,LOC-C018-0006,verified,Correlation is not universal at high n.
MECH-C018-002,C018,ALL,Mach_stem_motion,modifies,internal_wave_focus,model_based,T1-C018-C02,LOC-C018-0007,verified,Improved model relation.
MECH-C018-003,C018,ALL,four_pressure_effects,couples_with,negative_peak_pressure,simulation_resolved,T1-C018-C03,LOC-C018-0008,verified,No single-factor causality claim.
MECH-C019-001,C019,C019-M24-W6,shock_curvature,modifies,droplet_surface_loading_and_ligament_deformation,simulation_resolved,T1-C019-C01,LOC-C019-0008,verified,Primary numerical evidence.
MECH-C019-002,C019,C019-M24-W6,external_internal_wave_impingement,promotes,fixed_point_and_KH_inception,model_based,T1-C019-C02,LOC-C019-0007,verified,Author theoretical interpretation.
MECH-C024-001,C024,ALL,parent_droplet_size,correlates_with,cloud_survival_time,direct_observation,T1-C024-C01,LOC-C024-0005,verified,Primary experiment.
MECH-C024-002,C024,ALL,rapid_acceleration,promotes,RT_growth_and_breakup,model_based,T1-C024-C02,LOC-C024-0007,verified,Author model interpretation.
MECH-C025-001,C025,ALL,windward_piercing,promotes,secondary_atomization_mass_transfer,simulation_resolved,T1-C025-C01,LOC-C025-0005,verified,Primary numerical evidence.
MECH-C025-002,C025,ALL,secondary_breakup_cascade,promotes,bimodal_size_distribution,author_interpretation,T1-C025-C02,LOC-C025-0004,verified,Distribution interpretation.
MECH-C035-001,C035,ALL,lead_droplet_wake_shielding,suppresses,trailing_droplet_breakup_intensity,direct_observation,T1-C035-C01,LOC-C035-0006,verified,Primary experiment.
MECH-C035-002,C035,ALL,Weber_number,correlates_with,critical_tandem_spacing,experimental_correlation,T1-C035-C02,LOC-C035-0004,verified,Endpoint values preserved.
MECH-D018-001,D018,ALL,KHI_mass_stripping,precedes,KHI_RTI_piercing_catastrophic_breakup,direct_observation,T1-D018-C01,LOC-D018-0005,verified,Primary experiment.
MECH-D018-002,D018,ALL,adverse_post_detonation_pressure_gradient,suppresses,droplet_acceleration_and_cross_stream_growth,author_interpretation,T1-D018-C02,LOC-D018-0006,verified,Author interpretation informed by ZND calculation.
MECH-D018-003,D018,ALL,surface_tension,modifies,nondimensional_breakup_time,experimental_correlation,T1-D018-C03,LOC-D018-0008,verified,Water/RP-3 comparison.
