paper_id,pdf_page,printed_page,section,notes
D014,1,,1. Introduction,Printed page not independently verified.
D014,2,,2. Numerical methods,Printed page not independently verified.
D014,3,,2. Numerical methods,Printed page not independently verified.
D014,4,,3. Results and discussion,Printed page not independently verified.
D014,5,,3. Results and discussion,Printed page not independently verified.
D014,6,,3. Results and discussion,Printed page not independently verified.
D014,7,,3. Results and discussion,Printed page not independently verified.
D014,8,,3. Results and discussion,Printed page not independently verified.
D014,9,,3. Results and discussion,Printed page not independently verified.
D014,10,,4. Conclusion,Printed page not independently verified.
D014,11,,4. Conclusion,Printed page not independently verified.
D014,12,,4. Conclusion,Printed page not independently verified.
D014,13,,References,Printed page not independently verified.
D014,14,,References,Printed page not independently verified.
