paper_id,pdf_page,printed_page,section,notes
C034,1,,1 Introduction,Printed page not independently verified.
C034,2,,1 Introduction,Printed page not independently verified.
C034,3,,1 Introduction,Printed page not independently verified.
C034,4,,1 Introduction,Printed page not independently verified.
C034,5,,1 Introduction,Printed page not independently verified.
C034,6,,model,Printed page not independently verified.
C034,7,,model,Printed page not independently verified.
C034,8,,model,Printed page not independently verified.
C034,9,,model,Printed page not independently verified.
C034,10,,model,Printed page not independently verified.
C034,11,,model,Printed page not independently verified.
C034,12,,9 Conclusion,Printed page not independently verified.
C034,13,,References,Printed page not independently verified.
