paper_id,pdf_page,printed_page,section,notes
B008,1,,1 Introduction,Printed page not independently verified.
B008,2,,1 Introduction,Printed page not independently verified.
B008,3,,Method,Printed page not independently verified.
B008,4,,Method,Printed page not independently verified.
B008,5,,3 Results,Printed page not independently verified.
B008,6,,3 Results,Printed page not independently verified.
B008,7,,3 Results,Printed page not independently verified.
B008,8,,3 Results,Printed page not independently verified.
B008,9,,3 Results,Printed page not independently verified.
B008,10,,4 Conclusions,Printed page not independently verified.
B008,11,,References,Printed page not independently verified.
