paper_id,pdf_page,printed_page,section,notes
B003,1,,Front matter and abstract,Printed page not independently verified.
B003,2,,Front matter and abstract,Printed page not independently verified.
B003,3,,Front matter and abstract,Printed page not independently verified.
B003,4,,Front matter and abstract,Printed page not independently verified.
B003,5,,Front matter and abstract,Printed page not independently verified.
B003,6,,Front matter and abstract,Printed page not independently verified.
B003,7,,Front matter and abstract,Printed page not independently verified.
B003,8,,Front matter and abstract,Printed page not independently verified.
B003,9,,Front matter and abstract,Printed page not independently verified.
B003,10,,Front matter and abstract,Printed page not independently verified.
B003,11,,Front matter and abstract,Printed page not independently verified.
B003,12,,Front matter and abstract,Printed page not independently verified.
B003,13,,Front matter and abstract,Printed page not independently verified.
B003,14,,Front matter and abstract,Printed page not independently verified.
B003,15,,Front matter and abstract,Printed page not independently verified.
B003,16,,Front matter and abstract,Printed page not independently verified.
B003,17,,Front matter and abstract,Printed page not independently verified.
B003,18,,Front matter and abstract,Printed page not independently verified.
B003,19,,Front matter and abstract,Printed page not independently verified.
B003,20,,Front matter and abstract,Printed page not independently verified.
B003,21,,Front matter and abstract,Printed page not independently verified.
B003,22,,Front matter and abstract,Printed page not independently verified.
B003,23,,Front matter and abstract,Printed page not independently verified.
