paper_id,pdf_page,printed_page,section,notes
D011,1,,abstract,Printed page not independently verified.
D011,2,,Methods,Printed page not independently verified.
D011,3,,Methods,Printed page not independently verified.
D011,4,,Results and discussion,Printed page not independently verified.
D011,5,,Results and discussion,Printed page not independently verified.
D011,6,,Results and discussion,Printed page not independently verified.
D011,7,,Results and discussion,Printed page not independently verified.
D011,8,,Results and discussion,Printed page not independently verified.
D011,9,,Results and discussion,Printed page not independently verified.
D011,10,,references,Printed page not independently verified.
D011,11,,references,Printed page not independently verified.
