paper_id,pdf_page,printed_page,section,notes
D018,1,,1. Introduction,Printed page not independently verified.
D018,2,,2.1. Experimental setup,Printed page not independently verified.
D018,3,,2.1. Experimental setup,Printed page not independently verified.
D018,4,,3. Results and discussion,Printed page not independently verified.
D018,5,,3. Results and discussion,Printed page not independently verified.
D018,6,,3. Results and discussion,Printed page not independently verified.
D018,7,,3. Results and discussion,Printed page not independently verified.
D018,8,,3. Results and discussion,Printed page not independently verified.
D018,9,,3. Results and discussion,Printed page not independently verified.
D018,10,,3. Results and discussion,Printed page not independently verified.
D018,11,,4. Conclusions,Printed page not independently verified.
D018,12,,References,Printed page not independently verified.
