paper_id,pdf_page,printed_page,section,notes
A022,1,172,Abstract and introduction,
A022,2,173,Abstract and introduction,
A022,3,174,Experimental details,
A022,4,175,Experimental details,
A022,5,176,Experimental details,
A022,6,177,Results and discussion,
A022,7,178,Results and discussion,
A022,8,179,Results and discussion,
A022,9,180,Results and discussion,
A022,10,181,Results and discussion,
A022,11,182,Results and discussion,
A022,12,183,Results and discussion,
A022,13,184,Results and discussion,
A022,14,185,Conclusions,
A022,15,186,Appendices and references,
A022,16,187,Appendices and references,
A022,17,188,Appendices and references,
A022,18,189,Appendices and references,
A022,19,190,Appendices and references,
A022,20,191,Appendices and references,
