paper_id,pdf_page,printed_page,section,notes
A004,1,,1. Introduction,Printed page not independently verified.
A004,2,,1. Introduction,Printed page not independently verified.
A004,3,,1. Introduction,Printed page not independently verified.
A004,4,,3. Results and discussion,Printed page not independently verified.
A004,5,,3. Results and discussion,Printed page not independently verified.
A004,6,,3. Results and discussion,Printed page not independently verified.
A004,7,,3. Results and discussion,Printed page not independently verified.
A004,8,,3. Results and discussion,Printed page not independently verified.
A004,9,,3. Results and discussion,Printed page not independently verified.
A004,10,,3. Results and discussion,Printed page not independently verified.
A004,11,,References,Printed page not independently verified.
A004,12,,References,Printed page not independently verified.
