paper_id,pdf_page,printed_page,section,notes
C005,1,,1. Introduction,Printed page not independently verified.
C005,2,,1. Introduction,Printed page not independently verified.
C005,3,,"results. Finally, we present the important conclusions from this study in §4",Printed page not independently verified.
C005,4,,"results. Finally, we present the important conclusions from this study in §4",Printed page not independently verified.
C005,5,,"results. Finally, we present the important conclusions from this study in §4",Printed page not independently verified.
C005,6,,"results. Finally, we present the important conclusions from this study in §4",Printed page not independently verified.
C005,7,,"results. Finally, we present the important conclusions from this study in §4",Printed page not independently verified.
C005,8,,"results. Finally, we present the important conclusions from this study in §4",Printed page not independently verified.
C005,9,,"results. Finally, we present the important conclusions from this study in §4",Printed page not independently verified.
C005,10,,"results. Finally, we present the important conclusions from this study in §4",Printed page not independently verified.
C005,11,,"results. Finally, we present the important conclusions from this study in §4",Printed page not independently verified.
C005,12,,"results. Finally, we present the important conclusions from this study in §4",Printed page not independently verified.
C005,13,,"results. Finally, we present the important conclusions from this study in §4",Printed page not independently verified.
C005,14,,"results. Finally, we present the important conclusions from this study in §4",Printed page not independently verified.
C005,15,,"results. Finally, we present the important conclusions from this study in §4",Printed page not independently verified.
C005,16,,"results. Finally, we present the important conclusions from this study in §4",Printed page not independently verified.
C005,17,,"results. Finally, we present the important conclusions from this study in §4",Printed page not independently verified.
C005,18,,"results. Finally, we present the important conclusions from this study in §4",Printed page not independently verified.
C005,19,,"results. Finally, we present the important conclusions from this study in §4",Printed page not independently verified.
C005,20,,"results. Finally, we present the important conclusions from this study in §4",Printed page not independently verified.
C005,21,,"results. Finally, we present the important conclusions from this study in §4",Printed page not independently verified.
C005,22,,References,Printed page not independently verified.
C005,23,,References,Printed page not independently verified.
C005,24,,References,Printed page not independently verified.
C005,25,,"method. Int. J. Multiphase Flow 35, 550–565. (doi:10.1016/j.ijmultiphaseﬂow.2009.02.014)",Printed page not independently verified.
