paper_id,pdf_page,printed_page,section,notes
D006,1,,1. Introduction,Printed page not independently verified.
D006,2,,conclusions,Printed page not independently verified.
D006,3,,conclusions,Printed page not independently verified.
D006,4,,conclusions,Printed page not independently verified.
D006,5,,conclusions,Printed page not independently verified.
D006,6,,conclusions,Printed page not independently verified.
D006,7,,5. Results and discussion,Printed page not independently verified.
D006,8,,5. Results and discussion,Printed page not independently verified.
D006,9,,5. Results and discussion,Printed page not independently verified.
D006,10,,5. Results and discussion,Printed page not independently verified.
D006,11,,5. Results and discussion,Printed page not independently verified.
D006,12,,5. Results and discussion,Printed page not independently verified.
D006,13,,5. Results and discussion,Printed page not independently verified.
D006,14,,5. Results and discussion,Printed page not independently verified.
D006,15,,6. Conclusions,Printed page not independently verified.
D006,16,,References,Printed page not independently verified.
D006,17,,References,Printed page not independently verified.
