paper_id,pdf_page,printed_page,section,notes
D009,1,1,Abstract and introduction,
D009,2,2,Abstract and introduction,
D009,3,3,Stability criterion,
D009,4,4,Stability criterion,
D009,5,5,Stability criterion,
D009,6,6,Numerical method,
D009,7,7,Numerical method,
D009,8,8,Numerical method,
D009,9,9,Numerical method,
D009,10,10,Results,
D009,11,11,Results,
D009,12,12,Results,
D009,13,13,Results,
D009,14,14,Results,
D009,15,15,Results,
D009,16,16,Appendices and references,
D009,17,17,Appendices and references,
D009,18,18,Appendices and references,
D009,19,19,Appendices and references,
