mechanism_relation_id,paper_id,case_id,source_node,relation_type,target_node,support_type,candidate_claim_id,source_locator_id,verification_status,notes
MECH-A013-001,A013,CORE,injection_timing_or_sequence,correlates_with,mixing_and_ignition,author_interpretation,T2-A013-C01,LOC-A013-0002,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-A013-002,A013,CORE,injection_timing_or_sequence,correlates_with,mixing_and_ignition,author_interpretation,T2-A013-C02,LOC-A013-0002,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-A013-003,A013,CORE,injection_timing_or_sequence,correlates_with,mixing_and_ignition,author_interpretation,T2-A013-C03,LOC-A013-0002,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-A014-001,A014,CORE,injection_timing_or_sequence,correlates_with,mixing_and_ignition,author_interpretation,T2-A014-C01,LOC-A014-0002,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-A014-002,A014,CORE,injection_timing_or_sequence,correlates_with,mixing_and_ignition,author_interpretation,T2-A014-C02,LOC-A014-0002,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-A014-003,A014,CORE,injection_timing_or_sequence,correlates_with,mixing_and_ignition,author_interpretation,T2-A014-C03,LOC-A014-0002,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-A018-001,A018,CORE,injection_timing_or_sequence,correlates_with,mixing_and_ignition,author_interpretation,T2-A018-C01,LOC-A018-0002,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-A018-002,A018,CORE,injection_timing_or_sequence,correlates_with,mixing_and_ignition,direct_observation,T2-A018-C02,LOC-A018-0002,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-A018-003,A018,CORE,injection_timing_or_sequence,correlates_with,mixing_and_ignition,author_interpretation,T2-A018-C03,LOC-A018-0002,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-A021-001,A021,CORE,injection_timing_or_sequence,correlates_with,mixing_and_ignition,author_interpretation,T2-A021-C01,LOC-A021-0002,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-A021-002,A021,CORE,injection_timing_or_sequence,correlates_with,mixing_and_ignition,author_interpretation,T2-A021-C02,LOC-A021-0002,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-A021-003,A021,CORE,injection_timing_or_sequence,correlates_with,mixing_and_ignition,author_interpretation,T2-A021-C03,LOC-A021-0003,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-A024-001,A024,CORE,injection_timing_or_sequence,correlates_with,mixing_and_ignition,model_based,T2-A024-C01,LOC-A024-0002,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-A024-002,A024,CORE,injection_timing_or_sequence,correlates_with,mixing_and_ignition,model_based,T2-A024-C02,LOC-A024-0002,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-A024-003,A024,CORE,injection_timing_or_sequence,correlates_with,mixing_and_ignition,model_based,T2-A024-C03,LOC-A024-0002,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-A025-001,A025,CORE,injection_timing_or_sequence,correlates_with,mixing_and_ignition,author_interpretation,T2-A025-C01,LOC-A025-0002,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-A025-002,A025,CORE,injection_timing_or_sequence,correlates_with,mixing_and_ignition,model_based,T2-A025-C02,LOC-A025-0002,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-A025-003,A025,CORE,injection_timing_or_sequence,correlates_with,mixing_and_ignition,model_based,T2-A025-C03,LOC-A025-0002,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-B002-001,B002,CORE,pressure_release_condition,correlates_with,jet_and_shock_structure,model_based,T2-B002-C01,LOC-B002-0002,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-B002-002,B002,CORE,pressure_release_condition,correlates_with,jet_and_shock_structure,model_based,T2-B002-C02,LOC-B002-0002,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-B002-003,B002,CORE,pressure_release_condition,correlates_with,jet_and_shock_structure,model_based,T2-B002-C03,LOC-B002-0002,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-B003-001,B003,CORE,pressure_release_condition,correlates_with,jet_and_shock_structure,simulation_resolved,T2-B003-C01,LOC-B003-0002,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-B003-002,B003,CORE,pressure_release_condition,correlates_with,jet_and_shock_structure,model_based,T2-B003-C02,LOC-B003-0002,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-B003-003,B003,CORE,pressure_release_condition,correlates_with,jet_and_shock_structure,model_based,T2-B003-C03,LOC-B003-0002,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-B005-001,B005,CORE,pressure_release_condition,correlates_with,jet_and_shock_structure,review_secondary,T2-B005-C01,LOC-B005-0002,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-B005-002,B005,CORE,pressure_release_condition,correlates_with,jet_and_shock_structure,review_secondary,T2-B005-C02,LOC-B005-0002,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-B005-003,B005,CORE,pressure_release_condition,correlates_with,jet_and_shock_structure,review_secondary,T2-B005-C03,LOC-B005-0002,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-B007-001,B007,CORE,pressure_release_condition,correlates_with,jet_and_shock_structure,author_interpretation,T2-B007-C01,LOC-B007-0001,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-B007-002,B007,CORE,pressure_release_condition,correlates_with,jet_and_shock_structure,author_interpretation,T2-B007-C02,LOC-B007-0002,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-B007-003,B007,CORE,pressure_release_condition,correlates_with,jet_and_shock_structure,author_interpretation,T2-B007-C03,LOC-B007-0002,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-B012-001,B012,CORE,pressure_release_condition,correlates_with,jet_and_shock_structure,model_based,T2-B012-C01,LOC-B012-0002,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
MECH-B012-002,B012,CORE,pressure_release_condition,correlates_with,jet_and_shock_structure,author_interpretation,T2-B012-C02,LOC-B012-0002,verified,Candidate Tier 2 mechanism edge; causal strength is not upgraded beyond the source sentence.
